journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
20 Et 21-Revue D Histoire,<0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,479/538,HISTORY(AHCI),否,否,2025 CAS/JCR user table
2D Materials,4.3,JCR Q2 / CAS 3区,Q2,CAS 3区,57/187,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
3 Biotech,2.9,JCR Q2 / CAS 4区,Q2,CAS 4区,88/177,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE),否,否,2025 CAS/JCR user table
3C Empresa,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,294/316,BUSINESS(ESCI),否,是,2025 CAS/JCR user table
3c Tecnologia,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,166/175,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
3C Tic,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,147/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",否,是,2025 CAS/JCR user table
3D Printing and Additive Manufacturing,2.1,JCR Q3 / CAS 4区,Q3,CAS 4区,317/460,"ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
3D Printing in Medicine,3.1,JCR Q2 / CAS 3区,Q2,CAS 3区,58/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",否,是,2025 CAS/JCR user table
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,0.8,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
452 F-Revista de Teoria de la Literatura y Literatura Comparada,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERATURE(ESCI),否,是,2025 CAS/JCR user table
4OR-A Quarterly Journal of Operations Research,2.6,JCR Q2 / CAS 4区,Q2,CAS 4区,42/106,OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE),否,否,2025 CAS/JCR user table
A & A Practice,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,53/68,ANESTHESIOLOGY(ESCI),否,否,2025 CAS/JCR user table
A + U-ARCHITECTURE AND URBANISM,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
A&C-Revista de Direito Administrativo & Constitucional,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,225/434,LAW(ESCI),否,否,2025 CAS/JCR user table
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(AHCI);LITERATURE(AHCI),否,否,2025 CAS/JCR user table
AACE Clinical Case Reports,1.2,JCR Q4,Q4,待核实,164/191,ENDOCRINOLOGY & METABOLISM(ESCI),,,2025 CAS/JCR user table
AACN Advanced Critical Care,1.5,JCR Q3 / CAS 4区,Q3,CAS 4区,102/192,NURSING(ESCI),否,否,2025 CAS/JCR user table
AAPG BULLETIN,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,109/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
AAPPS Bulletin,5.9,JCR Q1,Q1,待核实,15/114,"PHYSICS, MULTIDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
AAPS Journal,3.7,JCR Q2 / CAS 3区,Q2,CAS 3区,99/352,PHARMACOLOGY & PHARMACY(SCIE),否,否,2025 CAS/JCR user table
AAPS PHARMSCITECH,4.0,JCR Q1 / CAS 4区,Q1,CAS 4区,82/352,PHARMACOLOGY & PHARMACY(SCIE),否,否,2025 CAS/JCR user table
AATCC Journal of Research,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,19/31,"MATERIALS SCIENCE, TEXTILES(SCIE)",否,否,2025 CAS/JCR user table
AATCC REVIEW,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,24/31,"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, TEXTILES(SCIE)",否,否,2025 CAS/JCR user table
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,0.6,JCR Q1 / CAS 3区,Q1,CAS 3区,65/538,HISTORY(AHCI),否,否,2025 CAS/JCR user table
Abacus-A Journal of Accounting Finance and Business Studies,2.3,JCR Q2 / CAS 4区,Q2,CAS 4区,87/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Abakos,<0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,135/136,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,是,2025 CAS/JCR user table
Abanico Veterinario,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,150/170,VETERINARY SCIENCES(ESCI),否,否,2025 CAS/JCR user table
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,98/147,GASTROENTEROLOGY & HEPATOLOGY(ESCI),否,是,2025 CAS/JCR user table
Abdominal Radiology,2.2,JCR Q2 / CAS 3区,Q2,CAS 3区,100/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",否,否,2025 CAS/JCR user table
ABE Journal,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ARCHITECTURE(ESCI),否,是,2025 CAS/JCR user table
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,432/483,MATHEMATICS(SCIE),否,否,2025 CAS/JCR user table
aBIOTECH,5.0,JCR Q1 / CAS 2区,Q1,CAS 2区,30/273,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI);PLANT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
Aboriginal History,0.1,JCR Q3 / CAS 3区,Q3,CAS 3区,363/538,HISTORY(ESCI),否,否,2025 CAS/JCR user table
Aboriginal Policy Studies,1.4,JCR Q2,Q2,待核实,98/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Academia y Virtualidad,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,700/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Academia-Revista Latinoamericana de Administracion,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,224/316,BUSINESS(SSCI);MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
ACADEMIC EMERGENCY MEDICINE,3.2,JCR Q1 / CAS 3区,Q1,CAS 3区,7/56,EMERGENCY MEDICINE(SCIE),否,否,2025 CAS/JCR user table
Academic Journal of Modern Philology,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
ACADEMIC MEDICINE,5.2,JCR Q1 / CAS 1区,Q1,CAS 1区,5/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE)",是,否,2025 CAS/JCR user table
Academic Pathology,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,61/90,PATHOLOGY(ESCI),否,是,2025 CAS/JCR user table
Academic Pediatrics,2.8,JCR Q1 / CAS 3区,Q1,CAS 3区,29/191,PEDIATRICS(SCIE),否,否,2025 CAS/JCR user table
ACADEMIC PSYCHIATRY,2.8,JCR Q1 / CAS 4区,Q1,CAS 4区,111/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI);PSYCHIATRY(SSCI),否,否,2025 CAS/JCR user table
ACADEMIC RADIOLOGY,3.9,JCR Q1 / CAS 2区,Q1,CAS 2区,35/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",否,否,2025 CAS/JCR user table
Academy of Management Annals,16.5,JCR Q1 / CAS 1区,Q1,CAS 1区,1/316,BUSINESS(SSCI);MANAGEMENT(SSCI),是,否,2025 CAS/JCR user table
Academy of Management Discoveries,4.8,JCR Q1 / CAS 2区,Q1,CAS 2区,103/420,MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
ACADEMY OF MANAGEMENT JOURNAL,10.5,JCR Q1 / CAS 1区,Q1,CAS 1区,12/420,BUSINESS(SSCI);MANAGEMENT(SSCI),是,否,2025 CAS/JCR user table
Academy of Management Learning & Education,5.2,JCR Q1 / CAS 2区,Q1,CAS 2区,24/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI);MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
Academy of Management Perspectives,5.7,JCR Q1 / CAS 2区,Q1,CAS 2区,77/420,BUSINESS(SSCI);MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
ACADEMY OF MANAGEMENT REVIEW,13.9,JCR Q1 / CAS 1区,Q1,CAS 1区,3/316,BUSINESS(SSCI);MANAGEMENT(SSCI),是,否,2025 CAS/JCR user table
Academy Review,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,223/241,"BUSINESS, FINANCE(ESCI);ECONOMICS(ESCI);MANAGEMENT(ESCI)",否,是,2025 CAS/JCR user table
ACADIENSIS,0.2,JCR Q2 / CAS 4区,Q2,CAS 4区,265/538,HISTORY(AHCI),否,否,2025 CAS/JCR user table
ACAROLOGIA,1.1,JCR Q3 / CAS 3区,Q3,CAS 3区,64/110,ENTOMOLOGY(SCIE),否,否,2025 CAS/JCR user table
Access to Justice in Eastern Europe,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,225/434,LAW(ESCI),否,是,2025 CAS/JCR user table
ACCESS-Access to science business innovation in the digital economy,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,480/617,"BUSINESS(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);ECONOMICS(ESCI);MANAGEMENT(ESCI)",否,是,2025 CAS/JCR user table
ACCIDENT ANALYSIS AND PREVENTION,6.2,JCR Q1 / CAS 1区,Q1,CAS 1区,7/271,"ERGONOMICS(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI);TRANSPORTATION(SSCI)",是,否,2025 CAS/JCR user table
Accion Psicologica,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,174/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Acciones e Investigaciones Sociales,0.3,JCR Q3 / CAS 4区,Q3,CAS 4区,203/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Accountability in Research-Ethics Integrity and Policy,4.0,JCR Q1 / CAS 2区,Q1,CAS 2区,2/23,MEDICAL ETHICS(SCIE),否,否,2025 CAS/JCR user table
ACCOUNTING AND BUSINESS RESEARCH,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,148/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting and Finance,2.6,JCR Q2 / CAS 4区,Q2,CAS 4区,74/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting Auditing & Accountability Journal,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,57/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting Economics and Law-A Convivium,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,185/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Accounting Education,2.3,JCR Q2 / CAS 3区,Q2,CAS 3区,87/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Accounting Forum,3.4,JCR Q1 / CAS 3区,Q1,CAS 3区,57/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting Historians Journal,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,173/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Accounting History,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,180/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Accounting History Review,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,234/316,BUSINESS(ESCI),否,否,2025 CAS/JCR user table
Accounting Horizons,2.2,JCR Q2 / CAS 3区,Q2,CAS 3区,93/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting in Europe,4.3,JCR Q1 / CAS 3区,Q1,CAS 3区,36/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
ACCOUNTING ORGANIZATIONS AND SOCIETY,4.0,JCR Q1 / CAS 2区,Q1,CAS 2区,41/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
Accounting Perspectives,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,180/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Accounting Research Journal,2.1,JCR Q2 / CAS 4区,Q2,CAS 4区,105/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
